"Date","covid19_cases_unvac","covid19_cases_partial_vac","covid19_cases_full_vac","covid19_cases_vac_unknown","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_full_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_full_vac_rate_7ma"
2021-11-30,310,19,308,50,9.85,4.64,2.76,12.60,5.11,2.96
2021-12-01,369,24,336,51,11.75,5.91,3.00,12.96,5.49,3.09
2021-12-02,446,23,429,61,14.22,5.71,3.83,13.39,5.67,3.21
2021-12-03,504,27,442,58,16.09,6.77,3.95,13.58,5.73,3.29
2021-12-04,469,25,499,60,15.00,6.33,4.45,13.68,5.85,3.48
2021-12-05,557,22,536,69,17.84,5.62,4.78,13.97,5.93,3.66
2021-12-06,373,24,426,64,11.95,6.16,3.80,13.81,5.88,3.80
2021-12-07,424,26,401,77,13.61,6.71,3.57,14.35,6.17,3.91
2021-12-08,421,22,502,64,13.53,5.72,4.47,14.61,6.15,4.12
2021-12-09,548,42,617,83,17.64,10.99,5.49,15.09,6.90,4.36
2021-12-10,613,26,718,96,19.81,6.71,6.38,15.63,6.89,4.71
2021-12-11,623,31,864,89,20.29,7.69,7.67,16.38,7.09,5.17
2021-12-12,576,36,771,93,18.93,8.46,6.84,16.54,7.49,5.46
2021-12-13,601,33,809,93,19.88,7.47,7.18,17.67,7.68,5.94
2021-12-14,493,33,809,94,16.42,7.21,7.18,18.07,7.75,6.46
2021-12-15,625,39,1046,98,21.01,8.15,9.27,19.14,8.10,7.14
2021-12-16,686,72,1530,133,23.28,14.40,13.56,19.95,8.58,8.30
2021-12-17,778,96,2120,130,26.63,18.47,18.77,20.92,10.26,10.07
2021-12-18,718,104,2338,141,24.82,19.20,20.69,21.57,11.91,11.93
2021-12-19,905,142,2977,153,31.64,24.94,26.34,23.38,14.26,14.71
2021-12-20,746,119,2781,138,26.26,20.31,24.60,24.29,16.10,17.20
2021-12-21,673,132,2500,148,23.82,22.13,22.10,25.35,18.23,19.33
2021-12-22,746,172,3243,222,26.60,28.15,28.65,26.15,21.09,22.10
2021-12-23,971,222,4392,205,34.86,35.52,38.79,27.80,24.10,25.71
2021-12-24,1536,356,7425,254,55.53,55.78,65.54,31.93,29.43,32.39
2021-12-25,1548,368,8222,274,56.40,56.35,72.53,36.44,34.74,39.79
2021-12-26,1429,357,7855,185,52.50,53.13,69.27,39.42,38.77,45.93
2021-12-27,1326,357,7575,160,48.92,52.40,66.79,42.66,43.35,51.95
2021-12-28,1209,362,7048,206,44.77,52.71,62.11,45.65,47.72,57.67
2021-12-29,1514,425,8221,276,56.35,61.15,72.42,49.90,52.43,63.92
2021-12-30,1971,562,11010,264,73.70,79.85,96.95,55.45,58.77,72.23
2021-12-31,2278,647,13436,352,85.58,90.83,118.3,59.75,63.77,79.77
2022-01-01,2679,732,14703,331,101.2,101.4,129.4,66.15,70.21,87.89
2022-01-02,2406,695,13371,242,91.54,94.38,117.6,71.72,76.10,94.80
2022-01-03,1971,488,10853,266,75.31,65.55,95.43,75.49,77.98,98.89
2022-01-04,1647,445,9040,219,63.27,59.03,79.46,78.14,78.88,101.4
2022-01-05,1554,386,9255,387,60.08,50.53,81.30,78.67,77.37,102.6
2022-01-06,1797,452,10648,442,69.86,58.59,93.48,78.12,74.33,102.1
2022-01-07,1543,375,9515,466,60.26,48.26,83.49,74.50,68.25,97.17
2022-01-08,1714,398,10865,384,67.10,51.11,95.30,69.63,61.06,92.29
2022-01-09,1643,414,9522,380,64.34,53.15,83.51,65.75,55.17,87.42
2022-01-10,1307,263,7789,347,51.23,33.74,68.31,62.31,50.63,83.55
2022-01-11,1061,250,6257,383,41.72,31.96,54.85,59.23,46.76,80.03
2022-01-12,1347,327,7673,435,53.21,41.51,67.22,58.25,45.47,78.02
2022-01-13,1336,303,7753,517,53.05,38.19,67.88,55.84,42.56,74.37
2022-01-14,1458,365,8518,623,58.19,45.72,74.52,55.55,42.20,73.08
2022-01-15,1539,417,8223,553,61.62,52.12,71.90,54.77,42.34,69.74
2022-01-16,1456,360,8079,555,58.34,44.99,70.63,53.91,41.18,67.90
2022-01-17,1250,281,6511,479,50.20,35.10,56.90,53.76,41.37,66.27
2022-01-18,1087,245,5439,314,43.79,30.55,47.50,54.06,41.17,65.22
2022-01-19,880,186,4109,569,35.60,23.17,35.86,51.54,38.55,60.74
2022-01-20,1079,260,5819,599,43.82,32.34,50.74,50.22,37.71,58.29
2022-01-21,1061,221,5307,576,43.28,27.43,46.24,48.09,35.10,54.25
2022-01-22,885,223,4765,600,36.27,27.59,41.49,44.47,31.60,49.91
2022-01-23,835,223,4175,600,34.38,27.48,36.32,41.05,29.09,45.01
2022-01-24,814,182,3496,298,33.60,22.40,30.40,38.68,27.28,41.22
2022-01-25,561,142,2347,374,23.24,17.48,20.40,35.74,25.41,37.35
2022-01-26,801,191,3805,571,33.33,23.49,33.04,35.42,25.46,36.95
2022-01-27,960,236,4004,652,40.14,29.01,34.73,34.89,24.98,34.66
2022-01-28,833,181,3806,517,35.03,22.22,32.98,33.71,24.24,32.77
2022-01-29,765,207,3480,403,32.36,25.42,30.12,33.15,23.93,31.14
2022-01-30,623,185,2807,345,26.47,22.71,24.27,32.02,23.25,29.42
2022-01-31,529,119,2125,270,22.54,14.61,18.36,30.44,22.13,27.70
2022-02-01,408,103,1807,304,17.42,12.66,15.61,29.61,21.45,27.02
2022-02-02,683,164,2643,419,29.26,20.18,22.81,29.03,20.97,25.55
2022-02-03,626,172,2921,379,26.93,21.18,25.19,27.14,19.85,24.19
2022-02-04,685,170,2827,365,29.58,20.98,24.35,26.37,19.68,22.96
2022-02-05,497,126,2233,348,21.57,15.62,19.21,24.82,18.28,21.40
2022-02-06,468,127,2076,215,20.39,15.86,17.84,23.96,17.30,20.48
2022-02-07,351,82,1443,212,15.31,10.30,12.39,22.92,16.68,19.63
2022-02-08,362,92,1402,236,15.83,11.62,12.03,22.70,16.53,19.12
2022-02-09,456,131,2173,402,20.01,16.72,18.62,21.37,16.04,18.52
2022-02-10,425,131,2159,486,18.71,16.90,18.47,20.20,15.43,17.56
2022-02-11,422,135,1967,383,18.64,17.63,16.81,18.64,14.95,16.48
2022-02-12,474,136,1980,354,21.01,18.04,16.89,18.56,15.30,16.15
2022-02-13,330,77,1553,305,14.67,10.43,13.22,17.74,14.52,15.49
2022-02-14,282,83,1237,163,12.55,11.35,10.52,17.35,14.67,15.22
2022-02-15,260,59,998,276,11.60,8.14,8.48,16.74,14.17,14.72
2022-02-16,376,91,1767,297,16.82,12.71,15.00,16.29,13.60,14.20
2022-02-17,326,94,1655,252,14.64,13.29,14.03,15.70,13.08,13.56
2022-02-18,303,81,1656,297,13.62,11.57,14.02,14.99,12.22,13.17
2022-02-19,303,77,1651,213,13.66,11.17,13.96,13.94,11.24,12.75
2022-02-20,285,78,1391,212,12.87,11.52,11.75,13.68,11.39,12.54
2022-02-21,199,48,976,112,9.00,7.15,8.24,13.17,10.79,12.21
2022-02-22,186,28,945,123,8.42,4.20,7.97,12.72,10.23,12.14
2022-02-23,215,47,1009,154,9.75,7.12,8.50,11.71,9.43,11.21
2022-02-24,298,80,1841,185,13.54,12.24,15.50,11.55,9.28,11.42
2022-02-25,287,75,1892,173,13.07,11.61,15.91,11.47,9.29,11.69
2022-02-26,261,78,1821,178,11.91,12.24,15.30,11.22,9.44,11.88
2022-02-27,226,61,1518,196,10.33,9.73,12.74,10.86,9.18,12.02
2022-02-28,146,31,1072,66,6.68,4.98,8.99,10.53,8.87,12.13
